Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
REEF / Oxa-enabled vehicle integrators,Vehicle Platform & Manufacturing,The quiet upfitters adapting base vehicles for Oxa and Beep,Passenger loop,Company,,,UK,Europe,2022,,,,,,,,,Public pilot,"Stands for the specialized vehicle integrators and retrofitters that adapt base vehicles for Oxa, Beep and shuttle deployments — a corner of the ecosystem I'm actively mapping.",,,Europe; US,Leadership to verify,Integration services and fleet deployment support.,,,Used where AV software companies rely on local fleet integrators rather than OEM factories.,Needs re-verification before publication as a named entity; included as open question.,This is a coverage gap: many AV pilots depend on small integrators that are hard to track publicly.,0,,5
Renault Group,Vehicle Platform & Manufacturing,European L4 shuttle pathway with WeRide Robobus programs,Passenger loop,Company,Boulogne-Billancourt,,France,Europe,1899,,,,,,,,,Public pilot,Automaker involved in automated shuttle and WeRide/Renault/beti/Macif service efforts in Europe.,,https://renaultgroup.com,Europe; China through alliance history,Luca de Meo,"Vehicle manufacturing, mobility services, partnerships.",Public,,European autonomous shuttle projects and historical alliance investment in WeRide.,WeRide announced European fully driverless Robobus partnerships involving Renault Group and beti/Macif.,Renault is important as a European pathway for L4 shuttle pilots rather than scaled robotaxi manufacturing.,1,WeRide,6
Rivian,Vehicle Platform & Manufacturing,"R2 tapped for 10,000 future Uber robotaxis",Passenger loop,Company,USA,CA,US,North America,2009,,,,,Yes,,,,Announced,EV maker whose R2 platform is tied to Uber's future robotaxi fleet plans and Volkswagen software/capital support.,,https://rivian.com,US; Canada; future global,RJ Scaringe,"EV manufacturing, fleet vans, software-enabled services, strategic platform partnerships.",Public,,R2 platform selected in reported Uber fleet commitment for future robotaxis; broader AV readiness still to verify.,"Reuters reported Uber commitment tied to 10,000 autonomous R2 robotaxis launching later in the decade.",Rivian is a watchlist platform supplier because it could become a second Uber-controlled vehicle anchor after Lucid.,0,,5
Roush Industries,Vehicle Platform & Manufacturing,Upfitter turning Kodiak prototypes into fleet trucks,Passenger loop,Company,USA,MI,US,North America,1976,,,,,,,,,Commercial-limited,Engineering and manufacturing services company that upfits vehicles for advanced mobility and has worked with Kodiak on autonomous truck builds.,,https://roush.com,North America,Jack Roush Jr. / leadership to verify,"Engineering services, vehicle modification, manufacturing support, testing and upfitting.",Private,,Kodiak uses aftermarket partnerships including Roush and Bosch to produce customer-ready autonomous trucks.,Kodiak emphasizes practical upfitting and customer-owned vehicles for West Texas/New Mexico operations.,Roush is a hidden Layer E node where autonomous prototypes become serviceable commercial vehicles.,0,,7
SAIC Motor,Vehicle Platform & Manufacturing,China's densest OEM bridge into Momenta autonomy,Passenger loop,Company,Shanghai,,China,Greater China,1955,,,,,,,,,Commercial-limited,"Large Chinese automaker with Momenta-linked ADAS and robotaxi relationships through SAIC, IM, SAIC-GM, and SAIC-VW channels.",,https://saicmotor.com,China; Europe through MG/IM brands,Wang Xiaoqiu; verify current,"Vehicle manufacturing, joint ventures, software-enabled vehicles, robotaxi pilots.",Public / state-owned,,Momenta systems appear across SAIC-linked brands and robotaxi tests in Shanghai/Suzhou.,Momenta's July 2026 IPO materials highlighted SAIC as a major vehicle/customer ecosystem partner.,SAIC is one of the densest OEM-to-autonomy bridges in China because it spans domestic and JV brands.,1,Momenta,12
Sany Heavy Industry,Vehicle Platform & Manufacturing,Heavy trucks carrying Pony.ai's China freight autonomy,Passenger loop,Company,Changsha,,China,Greater China,1989,,,,,,,,,Commercial-limited / testing,Heavy-equipment and truck manufacturer linked with Pony.ai autonomous truck mass-production plans in China.,,,China; global construction/heavy equipment,Xiang Wenbo; verify current,"Heavy equipment, trucks, industrial vehicles, autonomous truck platform partnerships.",Public,,Pony.ai and Sany announced plans to mass produce autonomous trucks in China.,"Relevant for China autonomous trucking, especially port/highway and heavy logistics applications.",Sany creates a separate China trucking platform path from US Volvo/Daimler/PACCAR ecosystems.,0,,8
Stellantis,Vehicle Platform & Manufacturing,Wayve-powered STLA AutoDrive path targeting 2028 launches,Passenger loop,Company,Amsterdam,,Netherlands,Europe,2021,,,,,,,,,R&D (paused L3),"Shelved in-house STLA AutoDrive L3; leaning on suppliers (aiMotive, Qualcomm)","Fourth-largest automaker, supplying AV-ready van platforms to Uber and Pony.ai.",https://stellantis.com,,Antonio Filosa (CEO),,Public,Public,,,STLA AutoDrive L3 program shelved/paused (mid-2026),2,Pony.ai | Uber,6
Tesla,Vehicle Platform & Manufacturing,"Consumer fleet plus in-house autonomy, the Waymo counter-model",Passenger loop,Company,USA,TX,US,North America,2003,,,,,,,,Yes,Commercial-limited in robotaxi; commercial-scaled in vehicles,EV maker and autonomy developer using its own vehicles as the platform for Tesla Robotaxi and FSD/Autopilot systems.,Runs the largest vision-only driving fleet: millions of FSD-capable cars feeding one training loop.,https://tesla.com,US; China; Europe; global vehicles,Elon Musk,"Vehicle sales, software subscriptions, ridehail/robotaxi service, energy products.",Public,Public (NASDAQ: TSLA),Robotaxi service launched limited Austin operations in 2025; broader expansion and fully driverless scale still requires verification.,Reuters reported limited Austin robotaxi launch in June 2025.,Tesla is the main counter-model to Waymo: consumer vehicle fleet plus in-house autonomy rather than dedicated AV fleet platform.,3,Tesla AI Hardware | Tesla Robotaxi / FSD | Tesla Supercharger (Robotaxi),13
Toyota,Vehicle Platform & Manufacturing,"Capital and platforms behind Woven, May Mobility and Pony.ai",Passenger loop,Company,Toyota City,,Japan,Asia-Pacific,1937,,,,,,,,,Commercial-limited / R&D,"Large global automaker with cautious but broad AV exposure through Woven, May Mobility, Pony.ai, Denso/Aisin, and exploratory Waymo collaboration.","The world's #1 automaker: capital and platforms behind Pony.ai, May Mobility and Waymo.",https://toyota.com,"Global; US, Japan, China AV partnerships",Koji Sato; Akio Toyoda as chairman,"Vehicle sales, mobility platforms, strategic investment, and safety/automation development.",Public company,Public,Sienna Autono-MaaS with May Mobility; exploratory collaboration with Waymo; China collaborations via Pony.ai and Momenta-linked vehicles.,Waymo-Toyota collaboration announced in 2025; May Mobility uses Toyota Sienna fleets.,"Toyota matters less as a direct robotaxi operator and more as a platform, capital, and ecosystem partner.",5,May Mobility | NVIDIA DRIVE | Pony.ai | Waymo | Woven by Toyota,12
Udelv,Vehicle Platform & Manufacturing,Purpose-built Transporter pods for driverless delivery,Passenger loop,Company,USA,CA,US,North America,2017,,,,,,Yes,,,R&D / historical pilots,Developer of autonomous delivery vehicles such as the Transporter; status requires re-verification.,,,US; Middle East watchlist,Daniel Laury; verify current,Vehicle/solution sales and delivery fleet partnerships.,Private,,Autonomous delivery pilots and partnerships; current commercial scale unclear.,Include as watchlist/historical until current operating status is re-confirmed.,Udelv illustrates the difficulty of scaling purpose-built delivery vehicles without large fleet partners.,0,,4
Valeo,Vehicle Platform & Manufacturing,Production lidar history plus VW-Mobileye ADAS programs,Passenger loop,Company,Paris,,France,Europe,1923,,,,,,,,,Commercial-scaled in components,"Automotive supplier strong in ADAS, LiDAR, sensors, software, lighting, and electrification; partnered with Mobileye/VW on L2+ systems.",Built the first mass-produced automotive-grade LiDAR (SCALA).,https://valeo.com,Global OEM programs,Christophe Perillat (CEO),Sells components and integrated ADAS systems to OEMs.,Public (Euronext),Public,Large global automotive footprint; Scala LiDAR and sensor/ECU supply programs,"VW, Mobileye and Valeo collaboration announced for driver-assistance systems.",Valeo is one of the few Tier-1s with both production LiDAR history and broad ADAS integration reach.,1,Mercedes-Benz Drive Pilot / MB.Drive,14
Elektrobit,AV Middleware & Tooling,EB corbos Linux inside Mobileye Drive's L4 stack,Passenger loop,Company,Erlangen,,Germany,Europe,1988,,,,,,,,,Production,Automotive embedded/adaptive AUTOSAR + EB corbos Linux software,,https://elektrobit.com,,,,Subsidiary,Continental/Aumovio,,,EB corbos Linux integrated into Mobileye Drive L4 (Feb 2026),1,Continental,4
Sonatus,AV Middleware & Tooling,SDV software running in 6M+ Hyundai-group vehicles,Passenger loop,Company,Sunnyvale,CA,US,North America,2018,,,,,,,,,Production,"Software-defined vehicle platform; edge AI, diagnostics, fleet SW",,https://sonatus.com,,Jeffrey Chou (CEO),,Late-stage,"Foxconn, Hyundai/Kia, LG, Marvell",,,"6M+ vehicles on road (Hyundai, Kia, Genesis); CES 2026",1,Hyundai Motor Group,5
Tier IV,AV Middleware & Tooling,"Autoware's open-source L4 stack, Toyota-reinvested",Passenger loop,Company,Tokyo,,Japan,Asia-Pacific,2015,,,,,,,,,Production,Open-source Autoware AD software; L4 stack integrator,,https://tier4.jp,,Shinpei Kato (CEO),,Late-stage,"Toyota, Aisan, KDDI, NEDO",,,L4 stack integrating NVIDIA Cosmos; Toyota reinvests (2026),1,Tier IV / Autoware,5
Volkswagen Group / CARIAD,Vehicle Platform & Manufacturing,ID.Buzz robotaxis on Uber in LA through MOIA,Passenger loop,Company,Wolfsburg,,Germany,Europe,1937,,,,,,,,,Commercial-limited / R&D,Large OEM group whose software unit CARIAD has changed strategy after ending its Bosch automated-driving alliance.,"Europe's largest automaker, betting on XPeng, Horizon and Mobileye stacks plus its own ID. Buzz AV.",https://volkswagen-group.com,Global; Europe; China; US,Oliver Blume; CARIAD leadership to verify,"Vehicle manufacturing, software-defined vehicle programs, platform and mobility services.",Public,,"ID. Buzz / MOIA autonomy efforts, Mobileye/Valeo L2+ work, CARIAD/Bosch historical alliance.",Reuters reported CARIAD and Bosch ended their automated-driving tie-up in July 2026.,"MOIA's autonomous ID.Buzz (Mobileye Drive, 27-sensor suite, built in Hanover) is live on Uber in Los Angeles with safety drivers — 100+ vehicles and commercial service targeted by end of 2026, fully driverless in 2027.",5,Horizon Robotics | MOIA | Mobileye | Uber | XPeng,10
Volvo Autonomous Solutions,Vehicle Platform & Manufacturing,VNL Autonomous factory-built for Waabi's driver-out path,Passenger loop,Company,Gothenburg,,Sweden,Europe,2020,,,,,,,,,Public pilot / commercializing,Volvo Group unit developing autonomous transport solutions and VNL Autonomous platform.,,https://volvoautonomoussolutions.com,Global; US trucking focus,"Nils Jaeger, president historically",Truck platform supply; autonomous transport solutions,Subsidiary,,US long-haul trucking platform with Waabi,Waabi integration into Volvo VNL Autonomous,Volvo-Waabi rollout path reported,0,,9
Volvo Cars,Vehicle Platform & Manufacturing,Baidu JV EVs and NVIDIA DRIVE inside consumer Volvos,Passenger loop,Company,Gothenburg,,Sweden,Europe,1927,,,,,,,,,N/A,Baidu JV for China AV EVs; NVIDIA DRIVE platform member,,https://volvocars.com,,Hakan Samuelsson (CEO),,Public (Geely majority),Geely,,,Baidu JV development; NVIDIA DRIVE adoption (2026),2,Luminar | NVIDIA DRIVE,5
Volvo Group (Trucks),Vehicle Platform & Manufacturing,Aurora-driven VNLs running Dallas-Oklahoma City daily,Passenger loop,Company,Gothenburg,,Sweden,Europe,1927,,,,,,,,,Commercial-limited,VNL Autonomous integrated with Aurora Driver; also Waabi partner,,https://volvogroup.com,,Martin Lundstedt (CEO),,Public,Public,,,Volvo-Aurora driverless Dallas-Oklahoma City route launch (May 2026),0,,7
Volvo Trucks / Volvo Autonomous Solutions,Vehicle Platform & Manufacturing,Redundant Class 8 platforms for Aurora and Waabi freight,Adjacent: Freight & Trucking,Company,Gothenburg,,Sweden,Europe,1928,,,,,,,,,Commercial-limited / Public pilot,Truck OEM and autonomous systems unit building redundant Class 8 platforms for Aurora and Waabi-style autonomous freight.,Factory-builds redundant autonomous VNL trucks for Aurora and Waabi.,https://volvotrucks.com,North America; Europe,Martin Lundstedt; Nils Jaeger at Volvo Autonomous Solutions to verify,"Truck manufacturing, autonomous transport solutions, and partner-integrated freight platforms.",Public / Volvo Group unit,,Volvo VNL Autonomous platforms integrated with Aurora and Waabi Driver programs in US Sun Belt freight corridors.,Waabi-Volvo partnership announced Feb. 2025; Aurora-Volvo collaboration remains a trucking anchor.,"Volvo is a core L4 trucking platform supplier because it can factory-integrate redundancy, service, and fleet channels.",2,Aurora Innovation | Waabi,10
Yutong Bus,Vehicle Platform & Manufacturing,Bus-scale manufacturing behind WeRide's Robobus fleets,Passenger loop,Company,Zhengzhou,,China,Greater China,1963,,,,,,,,,Commercial-limited,Major Chinese bus maker and WeRide investor/partner relevant to autonomous buses and Robobus deployments.,,https://yutong.com,China; Europe; Middle East; global bus export,Tang Yuxiang; verify current,"Bus manufacturing, fleet sales, electric bus exports, autonomous shuttle platforms.",Public,,Yutong-backed WeRide Robobus deployments in China and overseas pilots.,Yutong invested in WeRide and supports autonomous bus ecosystem development.,Yutong provides a bus-scale manufacturing bridge for autonomous shuttle deployments.,0,,8
Zeekr,Vehicle Platform & Manufacturing,Geely EVs carrying Waymo's sixth-generation Driver,Passenger loop,Company,Ningbo,,China,Greater China,2021,,,,,,,,,Commercial-limited,Geely-owned premium EV brand supplying the Zeekr RT / Waymo Ojai base vehicle for Waymo's next-generation robotaxi program.,"Purpose-built the Zeekr RT, Waymo's next-generation robotaxi.",https://zeekrglobal.com,China; US through Waymo vehicle program; Europe,Andy An; Geely leadership to verify,Vehicle sales to consumers and fleet/platform customers; custom vehicle supply for autonomy programs.,"Public; premium EV maker within the Geely ecosystem, with ownership evolving through Geely's restructuring.",Zhejiang Geely Holding,Zeekr EVs in China/Europe; Waymo-specific RT/Ojai vehicles entering US integration pipeline.,Waymo fleet expansion tied to Zeekr RT/Ojai and Mesa final assembly; date: 2025-2026.,Waymo and Magna scaling program makes Zeekr a core next-generation robotaxi platform supplier.,3,Geely | NVIDIA DRIVE | Waymo,11
ZF,Vehicle Platform & Manufacturing,Braking and steering redundancy coupled to perception,Passenger loop,Company,Friedrichshafen,,Germany,Europe,1915,,,,,,,,,Commercial-scaled in components,"Large automotive supplier spanning driveline, braking, steering, safety, and ADAS systems, including partnerships with Mobileye and OEMs.",,https://zf.com,Global OEM programs,"Holger Klein, CEO","Automotive systems and components, ADAS supply, commercial vehicle technology.",Foundation-owned / private,,Global OEM supply; Mobileye/Toyota ADAS and commercial vehicle programs.,"Included because AV-ready vehicles need redundant braking, steering, actuation, and domain controller integration.",Important because ZF couples perception with braking/steering actuation,0,,13
Zoox,Vehicle Platform & Manufacturing,Robotaxi & passenger L4; Purpose-built robotaxi/pod makers; Robotaxi consumer services,Passenger loop,Company,USA,CA,US,North America,2014,990,50,,,Yes,,,Yes,Commercial-limited,Amazon-owned robotaxi developer with a bidirectional purpose-built vehicle built without traditional driver controls. It is moving from free / waitlist operations toward broader commercialization.,"Built the first purpose-designed robotaxi (no steering wheel) to carry public riders, live in Las Vegas and SF.",https://zoox.com,US; testing/announced in multiple metros,"Aicha Evans, CEO",Robotaxi service revenue over time; Amazon-backed capital and fleet ownership.,Subsidiary,"Amazon (acquired 2020, ~$1.3B)",Las Vegas free public service and San Francisco waitlist/selected-user service; Hayward manufacturing facility.,"Nearly 2M autonomous miles and 350,000+ riders at a 4.72-star average, with 500,000+ waitlisted; rides free pending approval to charge; SF service area quadrupled in March 2026 and Austin and Miami entered via employee rides.",Zoox is the strongest US proof point for purpose-built robotaxi manufacturing outside Waymo's retrofit pathway.,4,California Department of Motor Vehicles (California DMV) | California Public Utilities Commission (CPUC) | NHTSA | Nevada Department of Motor Vehicles (Nevada DMV),11
Apollo Go,Demand & Commercial Platforms,"China's most visible robotaxi brand, now driverless in Dubai",Passenger loop,Company,Beijing,,China,Greater China,2019,,,,,,,,,Commercial-scaled,Baidu’s robotaxi service and China’s most visible scaled robotaxi brand.,,https://apollo.auto,China; UAE; planned UK/Europe,Baidu Apollo leadership,Per-ride robotaxi service and platform partnerships.,Corporate unit,,"Multiple Chinese cities; fully driverless Dubai service (March 2026) via Dubai Taxi Company and Uber; Abu Dhabi, South Korea and Europe expansion in motion.",Public summaries cite millions of completed rides and large Wuhan scale.,Uber/Lyft London plans make Apollo Go an exportable robotaxi supply layer.,0,,12
Aurora Horizon,Demand & Commercial Platforms,Carrier-facing product selling Aurora's driverless miles,Adjacent: Freight & Trucking,Company,Pittsburgh,PA,US,North America,2025,,,,,,,,,Commercial-limited / driverless operations,Aurora’s autonomous trucking service product for carriers and shippers.,,https://aurora.tech,United States,"Chris Urmson, CEO",Autonomous trucking service and freight partnerships.,Public company program,,Sun Belt freight lanes.,Driverless trucking progress covered in prior layers.,Demand layer matters for shipper/carrier adoption.,0,,10
AutoX Robotaxi,Demand & Commercial Platforms,Shenzhen robotaxi era that seeded today's Tensor,Passenger loop,Company,Shenzhen,,China,Greater China,2020,,,,,,,,,Driverless pilot / commercial-limited,Chinese robotaxi operator historically active in Shenzhen and Shanghai ecosystem.,,https://autox.ai,China,"Jianxiong Xiao, CEO",Robotaxi operations and technology deployment.,Private,,China pilot cities.,Fresh 2026 commercial metrics limited.,Keep as watchlist rather than current growth leader.,0,,7
Avride Robotaxi,Demand & Commercial Platforms,Dallas robotaxis and sidewalk bots on the Uber network,Passenger loop,Company,Austin,TX,US,North America,2025,,,,,,,,,Commercial-limited,Yandex-spinoff AV company with robotaxi and sidewalk delivery services.,,https://avride.ai,US; South Korea,"Dmitry Polishchuk, CEO",Robotaxi/delivery service and platform partnerships.,Private,,Austin/Dallas/South Korea testing and service summaries.,Public summaries cite 2026 robotaxi service activity.,Uber-related robotaxi/delivery distribution makes Avride a long-tail platform supplier.,0,,7
Beep,Demand & Commercial Platforms,Managed autonomous shuttles for campuses and communities,Passenger loop,Company,Orlando,FL,US,North America,2018,,,,,,,,,Commercial-limited,"Operator and integrator for autonomous shuttle services in campuses, communities, and controlled public environments.",,https://ridebeep.com,United States,Unknown (transition),"Autonomous shuttle operations, integration, fleet monitoring",Series B,"Intel Capital, Blue Lagoon","US campuses, master-planned communities and public-sector shuttle deployments",Lake Nona/Orlando-style deployments make Beep a useful AV ops precedent,Managed-shuttle model is a lower-risk alternative to open-ended robotaxis.,2,Holon | Oxa,11
Bolt,Demand & Commercial Platforms,Europe-to-Africa ridehail watching for AV supply,Passenger loop,Company,Tallinn,,Estonia,Europe,2013,,,,,,,,,Commercial-scaled,"Large mobility platform with ridehail, delivery and micromobility; no major AV role surfaced.",,https://bolt.eu,"Europe, Africa and selected global markets","Markus Villig, CEO",Marketplace take-rate.,Late-stage private,,Europe and Africa footprint.,No material public robotaxi integration found.,Watchlist as potential non-US AV distribution channel.,0,,12
CaoCao Mobility,Demand & Commercial Platforms,Geely's ridehail arm with a robotaxi platform pitch,Passenger loop,Company,Hangzhou,,China,Greater China,2015,,,,,,,,,Commercial-scaled,Geely-backed ride-hailing platform with potential OEM-linked AV demand value.,,https://caocaokeji.cn,China,,Ridehail marketplace and fleet services.,Private / affiliated,,China.,OEM-linked ridehail footprint.,Watchlist for Geely/Zeekr AV distribution.,1,Geely,11
Careem,Demand & Commercial Platforms,Uber-owned MENA super-app holding Gulf AV distribution optionality,Passenger loop,Company,Dubai,,UAE,Middle East & Africa,2012,,,,,,,,,Commercial-scaled,Uber-owned MENA super-app with potential Gulf AV distribution value.,,https://careem.com,"Middle East, North Africa, South Asia","Mudassir Sheikha, co-founder",Mobility/delivery/local services take-rate.,Subsidiary,,MENA mobility and delivery markets.,Uber ownership creates AV distribution optionality.,Potential local Gulf consumer channel for Uber AV supply.,0,,12
Cartken,Demand & Commercial Platforms,Mitsubishi Electric affiliate ordered ~100 Hauler sidewalk robots,Adjacent: Delivery,Company,Oakland,CA,US,North America,2019,25,,,,,,,,Commercial-limited,Sidewalk delivery robot company with Uber Eats and retail pilots.,,https://cartken.com,United States; international pilots,Christian Bersch (CEO),Robot delivery-as-a-service.,Series A,"468 Capital, Magna, Mitsubishi Electric, Shell",Miami and other pilot/service locations.,Uber Eats Miami partnership noted publicly.,~100 Cartken Hauler robots ordered by Mitsubishi Electric affiliate (2025),1,Uber Eats,11
Coco Robotics,Demand & Commercial Platforms,"$80M raised to scale sidewalk delivery toward 10,000 vehicles",Adjacent: Delivery,Company,Los Angeles,CA,US,North America,2020,123,,,,,,,,Commercial-limited,"Sidewalk delivery robot company serving restaurants, retailers and platforms.",,https://cocodelivery.com,United States,Zach Rash (CEO),Robot delivery fees and partner services.,Series B,"Sam & Max Altman, OpenAI, Ryan Graves",US urban delivery markets.,Public partner metrics limited.,"$80M raised; scaling toward 10,000 vehicles (Jun 2025)",2,DoorDash | Uber Eats,11
ComfortDelGro Zig,Demand & Commercial Platforms,Singapore taxi incumbent tied to Pony.ai's Punggol shuttles,Passenger loop,Company,Singapore,,Singapore,Asia-Pacific,2020,,,,,,,,,Commercial-scaled,Singapore taxi and mobility platform tied to Pony.ai autonomous shuttle deployment.,"Singapore's biggest taxi operator, now running Pony.ai robotaxi trials.",https://comfortdelgro.com,Singapore,"Cheng Siak Kian, Group CEO","Taxi, mobility and fleet operations.",Public,,Singapore autonomous shuttle activity in Punggol.,Pony.ai/ComfortDelGro Singapore shuttle plans reported.,Key local operating partner in Singapore AV rollout.,1,Pony.ai,12
Curb,Demand & Commercial Platforms,Taxi e-hail and payments as a legacy bridge into AV dispatch,Passenger loop,Company,New York,NY,US,North America,2007,,,,,,,,,Commercial-scaled,Taxi e-hailing and payment platform with strong US taxi fleet links.,,,United States,"Amos Tamam, CEO","Taxi dispatch, e-hail and payments.",Private,,US taxi markets.,Taxi fleet access.,Potential legacy-fleet bridge into AV dispatch.,0,,11
DiDi,Demand & Commercial Platforms,China ride-hailing leader with DiMA LLM assistant research,Passenger loop,Company,Beijing,,China,Greater China,2012,1530,,,,,,,Yes,Commercial-scaled platform,China ride-hailing leader and strategic demand layer for robotaxi commercialization in China.,China's dominant ride-hailing platform with its own robotaxi arm.,https://didiglobal.com,China; selected international markets,"Will Wei Cheng, founder and CEO",Ridehail take-rate; autonomous unit commercialization potential.,Public / private restructuring history,"Public; SoftBank, Tencent",Major Chinese cities with AV activity concentrated in China pilots.,DiMA research shows production LLM ride-hailing assistant capabilities.,Demand and dispatch data keep DiDi strategically relevant to China AV commercialization.,1,DiDi Autonomous Driving,13
DoorDash,Demand & Commercial Platforms,Delivery marketplace building Dot while partnering with Serve,Adjacent: Delivery,Company,San Francisco,CA,US,North America,2013,,,,,,,,,Commercial-scaled,"Major delivery marketplace investing in autonomous delivery through Dot, Serve and other automation.",,https://doordash.com,"US, Canada, Australia and selected international markets","Tony Xu, CEO","Marketplace take-rate, subscription, ads and merchant services.",Public,,Major delivery network; autonomous tests through Dot and Serve.,AP reported Q2 orders and Dot launch; Reuters reported Serve partnership.,DoorDash is both a buyer and builder of delivery automation.,2,Coco Robotics | DoorDash Dot,12
DoorDash Dot,Demand & Commercial Platforms,30 lb in-house robot with hundreds of Phoenix test deliveries,Adjacent: Delivery,Company,San Francisco,CA,US,North America,2025,,,,,,,,,Public pilot,DoorDash’s in-house autonomous delivery robot for streets and sidewalks.,,https://doordash.com,United States,DoorDash Labs leadership,In-house autonomous delivery capacity supporting DoorDash orders.,Public company program,,Phoenix area tests.,AP reported hundreds of test deliveries and 30 lb carrying capacity.,Dot gives DoorDash a build option alongside third-party robot suppliers.,1,DoorDash,8
Flexport,Demand & Commercial Platforms,Digital freight forwarder on the autonomous trucking watchlist,Passenger loop,Company,San Francisco,CA,US,North America,2013,,,,,,,,,Commercial-scaled,Digital freight forwarder relevant as freight-demand aggregation but not a core AV trucking operator.,,https://flexport.com,Global,"Ryan Petersen, CEO","Freight forwarding, brokerage and logistics software.",Late-stage private,,Global freight lanes.,No confirmed autonomous trucking integration in this pass.,Watchlist for autonomous trucking network access.,0,,12
FREE NOW,Demand & Commercial Platforms,European multimodal ridehail rooted in taxi-heavy markets,Passenger loop,Company,Hamburg,,Germany,Europe,2019,,,,,,,,,Commercial-scaled,European taxi and multimodal ridehail platform relevant in regulated taxi-heavy markets.,"Europe's leading taxi super-app, acquired by Lyft in 2025.",https://free-now.com,Europe,"Thomas Zimmermann, CEO",Taxi/ridehail dispatch and take-rate.,Subsidiary,,European cities.,European taxi marketplace footprint.,Potential European AV distribution layer.,1,Lyft,12
Gatik Commercial Network,Demand & Commercial Platforms,"Middle-mile autonomy hauling for Loblaw, Walmart, Kroger, Tyson",Adjacent: Freight & Trucking,Company,Mountain View,CA,US,North America,2019,,,,,,,,,Commercial-limited / driverless routes,"Autonomous middle-mile trucking operator connecting retailers, grocers and distribution centers.",,https://gatik.ai,US and Canada,"Gautam Narang, CEO",B2B delivery contracts.,Late-stage private,,North American middle-mile routes.,"Public summaries cite Loblaw, Walmart, Kroger and Tyson activity.","B2B demand, not consumer app demand, is Gatik’s commercial layer.",1,Gatik,10
Geotab,Demand & Commercial Platforms,Oakville telematics at scale for mixed human-AV fleet data,Passenger loop,Company,Oakville,,Canada,North America,2000,,,,,,,,,Commercial-scaled,"Large fleet telematics platform collecting vehicle, diagnostic and location data; relevant to mixed human/AV fleets and maintenance analytics.",,https://geotab.com,Global,Neil Cawse (CEO),"Telematics hardware, SaaS and data services",Private,,Global fleet customers.,Scale telematics footprint; direct AV fleet role limited,Fleet-data integration layer for hybrid human/AV fleets.,0,,13
GO Inc.,Demand & Commercial Platforms,Japan taxi app partnering on Waymo's Tokyo preparatory tests,Passenger loop,Company,Tokyo,,Japan,Asia-Pacific,2020,,,,,,,,,Commercial-scaled,Japan taxi app and local partner in Waymo Tokyo preparatory testing.,"Japan's #1 taxi app, managing Waymo's Tokyo fleet.",https://goinc.jp,Japan,"Hiroshi Nakajima, CEO",Taxi app and mobility platform services.,Private,,"Japan, especially Tokyo.",Waymo Tokyo testing partnership noted publicly.,Raised ¥88.6B (~$553M) in Japan's biggest IPO of 2026; preparing Tokyo Waymo operations alongside Nihon Kotsu.,1,Waymo,9
Grab,Demand & Commercial Platforms,Southeast Asia superapp operating WeRide shuttles in Singapore,Passenger loop,Company,Singapore,,Singapore,Asia-Pacific,2012,,,,,,,,,Commercial-scaled platform,Southeast Asian superapp and ride-hailing platform with autonomous shuttle / robotaxi adjacency through partners such as WeRide.,"Southeast Asia's super-app, now operating AV shuttle routes in Singapore.",https://grab.com,Southeast Asia,"Anthony Tan, co-founder and CEO","Take-rate across rides, delivery and services.",Public company,,Singapore autonomous shuttle operations with WeRide in Punggol.,Reuters reported Grab/WeRide autonomous shuttle plans for Singapore.,Selected as operator for WeRide autonomous shuttle routes in Singapore.,2,Vay | WeRide,13
HERE Marketplace / Location Services,Demand & Commercial Platforms,OEM-backed map platform licensing location APIs to mobility,Passenger loop,Company,Amsterdam,,Netherlands,Europe,2020,,,,,,,,,Commercial-scaled,"Location data, maps and marketplace services for mobility platforms.",,https://here.com,Global,"Mike Nefkens, CEO","Data, maps, APIs and location platform licensing.",Private,,Global.,OEM-backed map and data platform.,Location APIs and data monetization are commercial AV enablers.,0,,12
Instacart,Demand & Commercial Platforms,Grocery delivery marketplace adjacent to autonomous last mile,Adjacent: Delivery,Company,San Francisco,CA,US,North America,2012,,,,,,,,,Commercial-scaled,Grocery delivery marketplace and potential demand layer for autonomous local delivery.,,https://instacart.com,US and Canada,"Fidji Simo, CEO","Marketplace take-rate, ads and fulfillment services.",Public,,US/Canada grocery delivery network.,No major current AV distribution role verified.,Watchlist for autonomous grocery delivery.,0,,12
Kakao T,Demand & Commercial Platforms,South Korean mobility app and potential robotaxi channel,Passenger loop,Company,Seongnam,,South Korea,Asia-Pacific,2017,,,,,,,,,Commercial-scaled,South Korean mobility app and potential local robotaxi distribution channel.,,,South Korea,Kakao Mobility leadership,Mobility app services and commissions.,Private / subsidiary,,South Korea.,No major AV distribution role verified in this pass.,Watchlist for Korean market entry.,0,,11
